TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
6.03,12.14,29.92,247.83,364.56,35.13,1152.28,5.50,1.00
5.83,8.09,30.13,249.87,364.68,32.30,443.36,5.34,0.37
6.09,9.22,29.84,256.27,364.75,32.66,560.33,6.00,0.53
6.17,8.52,29.98,248.00,356.77,31.93,442.60,5.52,0.39
6.08,9.86,29.87,254.72,357.06,32.96,648.12,6.22,0.64
6.19,10.07,29.84,252.68,363.78,32.84,662.83,6.20,0.65
6.12,9.24,30.15,248.60,356.87,32.23,533.54,6.10,0.51
6.18,11.01,30.14,255.60,363.26,34.33,863.43,5.99,0.82
6.04,9.73,30.07,249.02,361.41,33.03,618.50,6.23,0.61
5.86,9.22,30.10,255.19,365.59,32.50,591.20,6.07,0.57
6.16,8.94,29.88,256.25,361.98,32.38,508.24,5.88,0.47
5.97,11.42,29.98,253.04,363.19,34.48,991.43,5.83,0.91
6.14,8.21,30.06,254.04,357.38,31.48,417.72,5.25,0.35
6.08,9.65,29.98,256.01,363.87,32.59,622.51,6.14,0.60
5.91,7.92,29.96,249.89,357.57,32.05,425.00,4.96,0.33
5.86,10.90,29.87,254.90,356.51,34.42,910.31,5.90,0.85
5.98,11.52,30.15,247.46,361.05,34.68,990.42,5.79,0.91
5.86,11.24,30.17,255.07,365.51,34.90,995.33,5.77,0.91
6.17,11.89,29.84,255.18,356.97,34.39,1091.13,5.60,0.97
6.00,11.25,30.00,246.67,364.59,33.96,914.20,5.93,0.86
5.84,9.92,29.84,250.24,356.64,33.42,681.69,6.27,0.68
6.18,9.33,29.99,249.99,357.20,32.79,549.70,5.99,0.52
6.00,10.59,30.12,252.78,359.35,34.35,802.89,6.05,0.77
5.89,11.59,30.19,250.30,366.29,34.41,1047.57,5.70,0.94
6.06,8.35,29.99,249.56,365.24,31.95,433.78,5.53,0.38
6.10,9.72,29.86,252.14,365.97,32.37,618.80,6.17,0.60
6.11,8.38,29.99,254.20,365.84,31.42,442.64,5.46,0.38
5.98,8.32,29.92,253.04,358.91,32.17,457.15,5.43,0.39
6.17,10.10,30.00,250.58,360.11,33.29,662.15,6.22,0.65
5.92,10.22,29.82,256.03,362.08,33.45,742.81,6.21,0.73
5.86,9.67,30.09,250.56,363.96,33.30,640.21,6.24,0.63
6.07,10.26,30.19,255.62,365.03,33.21,723.93,6.19,0.71
5.96,8.24,29.83,246.62,363.29,31.98,448.65,5.26,0.37
